question,generated_sql,expected_sql,generated_result,expected_result,syntax_correct,semantics_correct
What team has the smallest roster?,SELECT Team FROM nba_roster ORDER BY COUNT(*) ASC LIMIT 1;,select team from nba_roster group by team order by count(*) asc limit 1;,,"              Team
0  Houston Rockets",False,False
What team has the largest roster?,"SELECT Team, COUNT(*) FROM nba_roster GROUP BY Team ORDER BY COUNT(*) DESC LIMIT 1;","select team, count(*) from nba_roster group by team order by count(*) desc limit 1;","              Team  COUNT(*)
0  Toronto Raptors        26","              Team  count(*)
0  Toronto Raptors        26",True,False
What team is paying its players the most in total?,"SELECT Team, SUM(SALARY) FROM nba_roster GROUP BY Team ORDER BY SUM(SALARY) DESC LIMIT 1;","select team, sum(CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER)) from nba_roster group by team order by sum(CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER)) desc limit 1;","                 Team  SUM(SALARY)
0  Washington Wizards          0.0","              Team  \
0  Toronto Raptors   

   sum(CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER))  
0                                          290505894                ",True,False
Which team is paying its players the least?,"SELECT Team, SALARY FROM nba_roster GROUP BY Team ORDER BY SUM(SALARY) ASC LIMIT 1;","select team from nba_roster group by team order by sum(CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER)) asc limit 1;","            Team      SALARY
0  Atlanta Hawks  $4,556,983","              Team
0  Houston Rockets",True,False
Which team is on average the tallest?,,"select team, AVG(CAST(SUBSTR(HT, 1, INSTR(HT,' ')-1) AS INTEGER)+ CAST(SUBSTR(HT, INSTR(HT,' ')+1) AS FLOAT)/12) as height from nba_roster group by team order by height desc limit 1;",,"              Team    height
0  Toronto Raptors  6.634615",False,False
Which team is on average the shortest?,SELECT AVG(HT) FROM nba_roster WHERE POS = 'SF',"select team, AVG(CAST(SUBSTR(HT, 1, INSTR(HT,' ')-1) AS INTEGER)+ CAST(SUBSTR(HT, INSTR(HT,' ')+1) AS FLOAT)/12) as height from nba_roster group by team order by height asc limit 1;","   AVG(HT)
0      6.0","                    Team    height
0  Golden State Warriors  6.416667",True,False
Who are the tallest 5 centers in the league?,SELECT * FROM nba_roster WHERE POS = 'C',"SELECT name, HT FROM nba_roster WHERE POS = 'C' ORDER BY HT DESC LIMIT 5;","                      Team                 NAME Jersey POS  AGE      HT  \
0           Boston Celtics           Al Horford     42   C   37   6' 9""   
1           Boston Celtics          Luke Kornet     40   C   28   7' 2""   
2           Boston Celtics  Robert Williams III     44   C   25   6' 9""   
3            Brooklyn Nets          Nic Claxton     33   C   24  6' 11""   
4            Brooklyn Nets       Day'Ron Sharpe     20   C   21   6' 9""   
5        Charlotte Hornets        Nick Richards      4   C   25   7' 0""   
6        Charlotte Hornets        Mark Williams      5   C   21   7' 0""   
7            Chicago Bulls       Andre Drummond      3   C   30  6' 11""   
8            Chicago Bulls       Nikola Vucevic      9   C   32  6' 10""   
9      Cleveland Cavaliers        Jarrett Allen     31   C   25   6' 9""   
10     Cleveland Cavaliers         Damian Jones     15   C   28  6' 11""   
11        Dallas Mavericks     Dereck Lively II      2   C   19   7' 1""   
12        Dallas Mavericks        Dwight Powell      7   C   32  6' 10""   
13          Denver Nuggets       DeAndre Jordan      6   C   35  6' 11""   
14         Detroit Pistons          Jalen Duren      0   C   19  6' 11""   
15         Detroit Pistons       Isaiah Stewart     28   C   22   6' 8""   
16         Detroit Pistons        James Wiseman     13   C   22   7' 0""   
17          Indiana Pacers         Myles Turner     33   C   27  6' 11""   
18             LA Clippers        Mason Plumlee     44   C   33   7' 0""   
19      Los Angeles Lakers         Jaxson Hayes     10   C   23   7' 0""   
20       Memphis Grizzlies         Steven Adams      4   C   30  6' 11""   
21              Miami Heat          Bam Adebayo     13   C   26   6' 9""   
22              Miami Heat        Thomas Bryant     13   C   26  6' 10""   
23              Miami Heat     Orlando Robinson     25   C   23   7' 0""   
24         Milwaukee Bucks          Brook Lopez     11   C   35   7' 0""   
25  Minnesota Timberwolves             Naz Reid     11   C   24   6' 9""   
26  Minnesota Timberwolves   Karl-Anthony Towns     32   C   27   7' 0""   
27    New Orleans Pelicans          Cody Zeller     44   C   30  6' 11""   
28         New York Knicks         Jericho Sims     45   C   24   6' 9""   
29           Orlando Magic   Wendell Carter Jr.     34   C   24  6' 10""   
30           Orlando Magic        Moritz Wagner     21   C   26  6' 11""   
31      Philadelphia 76ers          Joel Embiid     21   C   29   7' 0""   
32      Philadelphia 76ers     Montrezl Harrell      5   C   29   6' 7""   
33            Phoenix Suns        Deandre Ayton     22   C   25   7' 0""   
34        Sacramento Kings             Alex Len     25   C   30   7' 1""   
35        Sacramento Kings         JaVale McGee     00   C   35   7' 0""   
36       San Antonio Spurs       Charles Bassey     28   C   22   6' 9""   
37       San Antonio Spurs           Khem Birch     99   C   30   6' 8""   
38         Toronto Raptors     Christian Koloko     35   C   23   7' 0""   
39         Toronto Raptors         Jakob Poeltl     19   C   27   7' 1""   
40               Utah Jazz       Walker Kessler     24   C   22   7' 0""   
41               Utah Jazz       Omer Yurtseven     77   C   25  6' 11""   
42         Toronto Raptors     Christian Koloko     35   C   23   7' 0""   
43         Toronto Raptors         Jakob Poeltl     19   C   27   7' 1""   
44      Washington Wizards       Daniel Gafford     21   C   24  6' 10""   

         WT           COLLEGE       SALARY  
0   240 lbs           Florida  $10,000,000  
1   250 lbs        Vanderbilt   $2,413,304  
2   237 lbs         Texas A&M  $11,571,429  
3   215 lbs           Georgia   $9,625,000  
4   265 lbs    North Carolina   $2,210,040  
5   245 lbs          Kentucky   $5,000,000  
6   240 lbs              Duke   $3,908,160  
7   279 lbs             UConn   $3,360,000  
8   260 lbs               USC  $18,518,519  
9   243 lbs             Texas  $20,000,000  
10  245 lbs        Vanderbilt   $2,586,665  
11  234 lbs              Duke   $4,775,640  
12  240 lbs          Stanford   $4,000,000  
13  265 lbs         Texas A&M   $2,019,706  
14  250 lbs           Memphis   $4,330,680  
15  250 lbs        Washington   $5,266,713  
16  240 lbs           Memphis  $12,119,400  
17  250 lbs             Texas  $20,975,000  
18  254 lbs              Duke   $5,000,000  
19  220 lbs             Texas   $2,165,000  
20  265 lbs        Pittsburgh  $12,600,000  
21  255 lbs          Kentucky  $32,600,060  
22  248 lbs           Indiana   $2,528,233  
23  235 lbs      Fresno State   $1,801,769  
24  282 lbs          Stanford  $25,000,000  
25  264 lbs               LSU  $12,950,400  
26  248 lbs          Kentucky  $36,016,200  
27  240 lbs           Indiana   $2,019,706  
28  250 lbs             Texas   $1,927,896  
29  270 lbs              Duke  $13,050,000  
30  245 lbs          Michigan   $8,000,000  
31  280 lbs            Kansas  $46,900,000  
32  240 lbs        Louisville   $2,019,760  
33  250 lbs           Arizona  $32,459,438  
34  250 lbs          Maryland   $2,019,760  
35  270 lbs            Nevada   $5,734,280  
36  230 lbs  Western Kentucky   $2,600,000  
37  233 lbs              UNLV   $6,985,000  
38  230 lbs           Arizona   $1,719,864  
39  245 lbs              Utah  $19,500,000  
40  245 lbs            Auburn   $2,831,160  
41  275 lbs        Georgetown   $2,800,000  
42  230 lbs           Arizona   $1,719,864  
43  245 lbs              Utah  $19,500,000  
44  234 lbs          Arkansas  $12,402,000  ","               NAME     HT
0       Luke Kornet  7' 2""
1  Dereck Lively II  7' 1""
2          Alex Len  7' 1""
3      Jakob Poeltl  7' 1""
4      Jakob Poeltl  7' 1""",True,False
Who are the top 5 highest paid power forwards in the league?,"SELECT NAME, SALARY FROM nba_roster WHERE POS = 'PF' ORDER BY SALARY DESC LIMIT 5;","SELECT NAME, salary FROM nba_roster WHERE POS = 'PF' AND SALARY!= '--' ORDER BY CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER) DESC LIMIT 5;","               NAME      SALARY
0  Patrick Williams  $9,835,881
1        Jeff Green  $9,600,000
2     Royce O'Neale  $9,500,000
3  Jabari Smith Jr.  $9,326,520
4       Evan Mobley  $8,882,760","            NAME       SALARY
0   Kevin Durant  $47,649,433
1  Anthony Davis  $40,600,080
2  Tobias Harris  $39,270,150
3  Pascal Siakam  $37,893,408
4  Pascal Siakam  $37,893,408",True,False
What is the median salary in the NBA?,SELECT AVG(SALARY) FROM nba_roster;,"SELECT (CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER)) as percentile FROM nba_roster WHERE SALARY!= '--' order by percentile limit 1 offset (select count(*) from nba_roster where SALARY != '--')*50/100-1;","   AVG(SALARY)
0          0.0","   percentile
0     7252080",True,False
What is the average salary in the NBA?,SELECT AVG(SALARY) FROM nba_roster;,"SELECT avg(CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER)) as percentile FROM nba_roster WHERE SALARY!= '--';","   AVG(SALARY)
0          0.0","     percentile
0  1.175886e+07",True,False
What is the 99th percentile salary in the NBA?,SELECT SALARY FROM nba_roster ORDER BY SALARY DESC LIMIT 99;,"SELECT (CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER)) as percentile FROM nba_roster WHERE SALARY!= '--' order by percentile limit 1 offset (select count(*) from nba_roster where SALARY != '--')*99/100-1;","         SALARY
0    $9,945,830
1    $9,895,833
2    $9,835,881
3    $9,800,926
4    $9,625,000
..          ...
94   $4,114,200
95   $4,037,278
96   $4,000,000
97   $4,000,000
98  $39,270,150

[99 rows x 1 columns]","   percentile
0    45640084",True,False
What is the 75th percentile salary in the NBA?,SELECT AVG(SALARY) FROM nba_roster WHERE SALARY > (SELECT AVG(SALARY) FROM nba_roster),"SELECT (CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER)) as percentile FROM nba_roster WHERE SALARY!= '--' order by percentile limit 1 offset (select count(*) from nba_roster where SALARY != '--')*75/100-1;","  AVG(SALARY)
0        None","   percentile
0    17259999",True,False
What is the 25th percentile salary in the NBA?,SELECT AVG(SALARY) FROM nba_roster ORDER BY SALARY DESC LIMIT 1;,"SELECT (CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER)) as percentile FROM nba_roster WHERE SALARY!= '--' order by percentile limit 1 offset (select count(*) from nba_roster where SALARY != '--')*25/100-1;","   AVG(SALARY)
0          0.0","   percentile
0     2733360",True,False
What is the median weight in the NBA?,SELECT AVG(WT) FROM nba_roster;,"select CAST(SUBSTR(WT, 1, INSTR(WT,' ')) as INTEGER) as percentile from nba_roster order by percentile limit 1 offset (select count(*) from nba_roster)*50/100-1;","      AVG(WT)
0  216.380805","   percentile
0         215",True,False
What is the average weight in the NBA?,AVG(WT) OVER (),"SELECT AVG(CAST(SUBSTR(WT, 1, INSTR(WT,' ')) as INTEGER)) FROM nba_roster;",,"   AVG(CAST(SUBSTR(WT, 1, INSTR(WT,' ')) as INTEGER))
0                                         216.380805 ",False,False
What is the median height in the NBA?,SELECT AVG(HT) FROM nba_roster;,"select CAST(SUBSTR(HT, 1, INSTR(HT,' ')-1) AS INTEGER)+ CAST(SUBSTR(HT, INSTR(HT,' ')+1) AS FLOAT)/12 as percentile from nba_roster order by percentile limit 1 offset (select count(*) from nba_roster)*50/100-1;","    AVG(HT)
0  6.068111","   percentile
0         6.5",True,False
What is the average height in the NBA?,AVG(HT) OVER (),"select AVG(CAST(SUBSTR(HT, 1, INSTR(HT,' ')-1) AS INTEGER)+ CAST(SUBSTR(HT, INSTR(HT,' ')+1) AS FLOAT)/12) as height from nba_roster;",,"    height
0  6.55031",False,False
Can you tell me how many players are in the NBA?,SELECT COUNT(*) FROM nba_roster;,select count(*) from nba_roster;,"   COUNT(*)
0       323","   count(*)
0       323",True,False
Would you please let me know what the highest paid players are for each position?,,"SELECT name, pos, MAX(CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER)) as max_salary FROM nba_roster WHERE SALARY!= '--' GROUP BY POS;",,"            NAME POS  max_salary
0    Joel Embiid   C    46900000
1    Paul George   F    45640084
2  Norman Powell   G    18000000
3   Kevin Durant  PF    47649433
4  Stephen Curry  PG    51915615
5  Kawhi Leonard  SF    45640084
6  Klay Thompson  SG    43219440",False,False
Is Jalen Johnson 23 years old?,SELECT AGE FROM nba_roster WHERE NAME = 'Jalen Johnson';,"Select name, age from nba_roster where name='Jalen Johnson';","   AGE
0   21","            NAME  AGE
0  Jalen Johnson   21",True,False
Who is the oldest player on the Brooklyn Nets?,"SELECT NAME, AGE FROM nba_roster WHERE TEAM = 'Brooklyn Nets' ORDER BY AGE DESC LIMIT 1;",SELECT NAME FROM nba_roster WHERE TEAM = 'Brooklyn Nets' AND AGE = (SELECT MAX(AGE) FROM nba_roster WHERE TEAM = 'Brooklyn Nets');,"                NAME  AGE
0  Spencer Dinwiddie   30","                  NAME
0    Spencer Dinwiddie
1  Dorian Finney-Smith
2        Royce O'Neale",True,False
Who has the higest salary on the Memphis Grizzlies?,SELECT * FROM nba_roster WHERE team = 'Memphis Grizzlies';,"select salary, name from nba_roster where team='Memphis Grizzlies' and SALARY!= '--' ORDER BY CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER) DESC LIMIT 1;","                 Team                NAME Jersey POS  AGE      HT       WT  \
0   Memphis Grizzlies        Steven Adams      4   C   30  6' 11""  265 lbs   
1   Memphis Grizzlies        Santi Aldama      7  PF   22  6' 11""  215 lbs   
2   Memphis Grizzlies        Desmond Bane     22  SG   25   6' 5""  215 lbs   
3   Memphis Grizzlies      Brandon Clarke     15  PF   27   6' 8""  215 lbs   
4   Memphis Grizzlies   Jaren Jackson Jr.     13  PF   24  6' 11""  242 lbs   
5   Memphis Grizzlies        Luke Kennard     10  SG   27   6' 5""  206 lbs   
6   Memphis Grizzlies        Jake LaRavia      3   F   21   6' 7""  235 lbs   
7   Memphis Grizzlies  Kenneth Lofton Jr.      6   F   21   6' 8""  275 lbs   
8   Memphis Grizzlies           Ja Morant     12  PG   24   6' 3""  174 lbs   
9   Memphis Grizzlies         David Roddy     27   F   22   6' 5""  255 lbs   
10  Memphis Grizzlies      Xavier Tillman      2   F   24   6' 8""  245 lbs   
11  Memphis Grizzlies     Ziaire Williams      8   F   22   6' 9""  185 lbs   

           COLLEGE       SALARY  
0       Pittsburgh  $12,600,000  
1      Loyola (MD)   $2,194,200  
2              TCU   $3,845,083  
3          Gonzaga  $12,500,000  
4   Michigan State  $27,102,202  
5             Duke  $15,418,363  
6      Wake Forest   $3,199,920  
7   Louisiana Tech   $1,719,864  
8     Murray State  $34,005,250  
9   Colorado State   $2,718,240  
10  Michigan State   $1,930,681  
11        Stanford   $4,810,200  ","        SALARY       NAME
0  $34,005,250  Ja Morant",True,False
Which player has the higest salary on the Cleveland Cavaliers?,,"select salary, name from nba_roster where team='Cleveland Cavaliers' and SALARY!= '--' ORDER BY CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER) DESC LIMIT 1;",,"        SALARY            NAME
0  $34,005,250  Darius Garland",False,False
Who is the highest paid center on the Dallas Mavericks?,"SELECT * FROM nba_roster WHERE COLLEGE = 'Dallas Mavericks' AND SALARY = '$1,719,864'","select salary, name from nba_roster where team='Dallas Mavericks' and POS='C' and SALARY!= '--' ORDER BY CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER) DESC LIMIT 1;","Empty DataFrame
Columns: [Team, NAME, Jersey, POS, AGE, HT, WT, COLLEGE, SALARY]
Index: []","       SALARY              NAME
0  $4,775,640  Dereck Lively II",True,False
How much is Marcus Smart getting paid?,SELECT SALARY FROM nba_roster WHERE NAME = 'Marcus Smart';,select salary from nba_roster where name='Marcus Smart';,"Empty DataFrame
Columns: [SALARY]
Index: []","Empty DataFrame
Columns: [SALARY]
Index: []",True,True
What's the average age of the Trail Blazers?,SELECT AVG(AGE) FROM nba_roster WHERE TEAM = 'Trail Blazers';,select avg(age) from nba_roster where team='Portland Trail Blazers';,"  AVG(AGE)
0     None","    avg(age)
0  24.444444",True,False
What's the median age of the NBA?,SELECT AVG(AGE) FROM nba_roster;,select CAST(AGE as INTEGER) as percentile from nba_roster order by percentile limit 1 offset (select count(*) from nba_roster)*50/100-1;,"    AVG(AGE)
0  26.136223","   percentile
0          25",True,False
What's the median age of the Miami Heat?,SELECT AVG(AGE) FROM nba_roster WHERE TEAM = 'Miami Heat';,select CAST(AGE as INTEGER) as percentile from nba_roster where team='Miami Heat' order by percentile limit 1 offset (select count(*) from nba_roster where team='Miami Heat')*50/100-1;,"   AVG(AGE)
0      28.6","   percentile
0          26",True,False
What are the 5 teams with the oldest average age in the NBA,SELECT AVG(AGE) AS avg_age FROM nba_roster GROUP BY TEAM ORDER BY avg_age DESC LIMIT 5;,"SELECT team, AVG(AGE) AS average_age FROM nba_roster GROUP BY team ORDER BY average_age DESC LIMIT 5;","     avg_age
0  29.875000
1  29.666667
2  29.000000
3  28.818182
4  28.600000","                    Team  average_age
0  Golden State Warriors    29.875000
1        Milwaukee Bucks    29.666667
2            LA Clippers    29.000000
3     Philadelphia 76ers    28.818182
4             Miami Heat    28.600000",True,False
What is the average salary of Power Forward players in the NBA,SELECT AVG(SALARY) FROM nba_roster WHERE POS = 'PF',"select avg(CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER)) as average_salary from nba_roster where POS = 'PF';","   AVG(SALARY)
0          0.0","   average_salary
0    1.299885e+07",True,False
