question,generated_sql,expected_sql,generated_result,expected_result,syntax_correct,semantics_correct
Who is the oldest player on the Brooklyn Nets?,SELECT MAX(AGE) FROM nba_roster WHERE Team = 'Brooklyn Nets';,SELECT NAME FROM nba_roster WHERE TEAM = 'Brooklyn Nets' AND AGE = (SELECT MAX(AGE) FROM nba_roster WHERE TEAM = 'Brooklyn Nets');,"   MAX(AGE)
0        30","                  NAME
0    Spencer Dinwiddie
1  Dorian Finney-Smith
2        Royce O'Neale",True,False
Who has the higest salary on the Memphis Grizzlies?,SELECT MAX(SALARY) FROM nba_roster WHERE Team = 'Memphis Grizzlies';,"select salary, name from nba_roster where team='Memphis Grizzlies' and SALARY!= '--' ORDER BY CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER) DESC LIMIT 1;","  MAX(SALARY)
0  $4,810,200","        SALARY       NAME
0  $34,005,250  Ja Morant",True,False
Which player has the higest salary on the Cleveland Cavaliers?,"SELECT NAME, SALARY FROM nba_roster WHERE Team = 'Cleveland Cavaliers' ORDER BY SALARY DESC LIMIT 1;","select salary, name from nba_roster where team='Cleveland Cavaliers' and SALARY!= '--' ORDER BY CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER) DESC LIMIT 1;","          NAME      SALARY
0  Isaac Okoro  $8,920,795","        SALARY            NAME
0  $34,005,250  Darius Garland",True,False
Who is the highest paid center on the Dallas Mavericks?,SELECT NAME FROM nba_roster WHERE COLLEGE = 'UCLA' AND TEAM = 'Dallas Mavericks' ORDER BY SALARY DESC LIMIT 1;,"select salary, name from nba_roster where team='Dallas Mavericks' and POS='C' and SALARY!= '--' ORDER BY CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER) DESC LIMIT 1;","Empty DataFrame
Columns: [NAME]
Index: []","       SALARY              NAME
0  $4,775,640  Dereck Lively II",True,False
How much is Marcus Smart getting paid?,,select salary from nba_roster where name='Marcus Smart';,,"Empty DataFrame
Columns: [SALARY]
Index: []",False,False
What's the average age of the Trail Blazers?,SELECT AVG(AGE) FROM nba_roster WHERE Team = 'Trail Blazers';,select avg(age) from nba_roster where team='Portland Trail Blazers';,"  AVG(AGE)
0     None","    avg(age)
0  24.444444",True,False
What's the median age of the NBA?,SELECT AVG(AGE) FROM nba_roster;,select CAST(AGE as INTEGER) as percentile from nba_roster order by percentile limit 1 offset (select count(*) from nba_roster)*50/100-1;,"    AVG(AGE)
0  26.136223","   percentile
0          25",True,False
What's the median age of the Miami Heat?,SELECT AVG(AGE) FROM nba_roster WHERE Team = 'Miami Heat';,select CAST(AGE as INTEGER) as percentile from nba_roster where team='Miami Heat' order by percentile limit 1 offset (select count(*) from nba_roster where team='Miami Heat')*50/100-1;,"   AVG(AGE)
0      28.6","   percentile
0          26",True,False
What are the 5 teams with the oldest average age in the NBA,"SELECT Team, AVG(AGE) AS avg_age FROM nba_roster GROUP BY Team ORDER BY avg_age DESC LIMIT 5;","SELECT team, AVG(AGE) AS average_age FROM nba_roster GROUP BY team ORDER BY average_age DESC LIMIT 5;","                    Team    avg_age
0  Golden State Warriors  29.875000
1        Milwaukee Bucks  29.666667
2            LA Clippers  29.000000
3     Philadelphia 76ers  28.818182
4             Miami Heat  28.600000","                    Team  average_age
0  Golden State Warriors    29.875000
1        Milwaukee Bucks    29.666667
2            LA Clippers    29.000000
3     Philadelphia 76ers    28.818182
4             Miami Heat    28.600000",True,False
What is the average salary of Power Forward players in the NBA,SELECT AVG(SALARY) FROM nba_roster WHERE POS = 'PF';,"select avg(CAST(REPLACE(REPLACE(SALARY, '$', ''), ',','') AS INTEGER)) as average_salary from nba_roster where POS = 'PF';","   AVG(SALARY)
0          0.0","   average_salary
0    1.299885e+07",True,False
